Date,Cases,Deaths,Hospitalized,Recovered,News,county,newCases,newDeaths,NewHosp,newRecov,nonRecov
2020-03-10,1,0,0,0,https://www.goskagit.com/news/skagit-county-s-first-case-of-covid--confirmed/article_772a96af-8ab1-59aa-bb00-2b997d8b4073.html,Skagit,NA,NA,NA,NA,1
2020-03-11,1,0,0,0,NA,Skagit,0,0,0,0,1
2020-03-12,2,0,0,0,NA,Skagit,1,0,0,0,2
2020-03-13,3,0,0,0,https://www.goskagit.com/news/local_news/skagit-county-schools-shutting-down/article_cb1da4b3-5d22-5396-97ad-9cc0907dd032.html,Skagit,1,0,0,0,3
2020-03-14,4,0,0,0,NA,Skagit,1,0,0,0,4
2020-03-15,4,0,0,0,NA,Skagit,0,0,0,0,4
2020-03-16,7,0,3,0,NA,Skagit,3,0,3,0,7
2020-03-17,9,0,3,0,NA,Skagit,2,0,0,0,9
2020-03-18,18,0,3,0,NA,Skagit,9,0,0,0,18
2020-03-19,25,0,4,0,NA,Skagit,7,0,1,0,25
2020-03-20,25,0,4,0,NA,Skagit,0,0,0,0,25
2020-03-21,28,0,4,0,NA,Skagit,3,0,0,0,28
2020-03-22,44,1,5,0,https://www.goskagit.com/news/local_news/first-skagit-county-covid--death-reported/article_0c207112-1e27-59f6-925e-f213af0a0303.html,Skagit,16,1,1,0,44
2020-03-23,45,1,5,0,https://www.goskagit.com/coronavirus/gov-inslee-issues--week-stay-at-home-order/article_30a342a2-ec29-5f54-af6a-d649cfa6c465.html,Skagit,1,0,0,0,45
2020-03-24,45,1,5,0,NA,Skagit,0,0,0,0,45
2020-03-25,48,1,5,0,NA,Skagit,3,0,0,0,48
2020-03-26,63,1,6,0,NA,Skagit,15,0,1,0,63
2020-03-27,78,1,6,0,NA,Skagit,15,0,0,0,78
2020-03-28,91,1,8,0,NA,Skagit,13,0,2,0,91
2020-03-29,97,3,8,0,NA,Skagit,6,2,0,0,97
2020-03-30,121,3,9,0,NA,Skagit,24,0,1,0,121
2020-03-31,128,3,13,0,NA,Skagit,7,0,4,0,128
2020-04-01,143,4,14,0,NA,Skagit,15,1,1,0,143
2020-04-02,153,4,15,0,NA,Skagit,10,0,1,0,153
2020-04-03,160,4,18,0,NA,Skagit,7,0,3,0,160
2020-04-04,161,4,19,0,NA,Skagit,1,0,1,0,161
2020-04-05,161,4,19,0,NA,Skagit,0,0,0,0,161
2020-04-06,166,4,21,0,NA,Skagit,5,0,2,0,166
2020-04-07,169,5,23,0,NA,Skagit,3,1,2,0,169
2020-04-08,172,5,25,0,NA,Skagit,3,0,2,0,172
2020-04-09,178,5,27,0,NA,Skagit,6,0,2,0,178
2020-04-10,185,6,27,39,NA,Skagit,7,1,0,39,146
2020-04-11,187,6,27,51,NA,Skagit,2,0,0,12,136
2020-04-12,191,6,27,51,NA,Skagit,4,0,0,0,140
2020-04-13,193,6,24,55,NA,Skagit,2,0,-3,4,138
2020-04-14,200,6,26,58,NA,Skagit,7,0,2,3,142
2020-04-15,209,6,29,71,NA,Skagit,9,0,3,13,138
2020-04-16,218,6,30,75,NA,Skagit,9,0,1,4,143
2020-04-17,226,6,32,77,NA,Skagit,8,0,2,2,149
2020-04-18,240,7,33,81,NA,Skagit,14,1,1,4,159
2020-04-19,245,7,35,81,NA,Skagit,5,0,2,0,164
